method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
wasps_nodiv,0.01,42.0,0.48283218935841343,0.022185564041137695,0.511023759841919,0.5332093238830566,0.8421052631578947,0.25,0.4489795918367347,0.3902439024390244
wasps_nodiv,0.01,43.0,0.529986243945054,0.021963834762573242,0.5636875629425049,0.5856513977050781,0.8333333333333334,0.2777777777777778,0.43478260869565216,0.5789473684210527
wasps_nodiv,0.01,44.0,0.5118690393933256,0.02215743064880371,0.5336287021636963,0.5557861328125,0.7906976744186046,0.32432432432432434,0.46153846153846156,0.46153846153846156
wasps_nodiv,0.01,45.0,0.4582323232323232,0.022067546844482422,0.5859396457672119,0.6080071926116943,0.6818181818181818,0.26666666666666666,0.44,0.4444444444444444
eucl_params,0.01,42.0,0.4357899152507625,0.022266387939453125,0.7633886337280273,0.7856550216674805,0.6341463414634146,0.36363636363636365,0.42105263157894735,0.32432432432432434
eucl_params,0.01,43.0,0.33299170088801194,0.02219080924987793,0.8230903148651123,0.8452811241149902,0.2,0.3050847457627119,0.4117647058823529,0.42424242424242425
eucl_params,0.01,44.0,0.45640229789927095,0.022101402282714844,0.779656171798706,0.8017575740814209,0.5641025641025641,0.3783783783783784,0.43478260869565216,0.4444444444444444
eucl_params,0.01,45.0,0.3037169312169312,0.02204155921936035,0.8436756134033203,0.8657171726226807,0.44,0.2962962962962963,0.25,0.22857142857142856
eucl_params_nodiv,0.01,42.0,0.2848557692307693,0.022290706634521484,0.4675929546356201,0.4898836612701416,0.3333333333333333,0.4166666666666667,0.3125,0.07692307692307693
eucl_params_nodiv,0.01,43.0,0.33299170088801194,0.02212691307067871,0.5231432914733887,0.5452702045440674,0.2,0.3050847457627119,0.4117647058823529,0.42424242424242425
eucl_params_nodiv,0.01,44.0,0.45640229789927095,0.022192001342773438,0.48860669136047363,0.5107986927032471,0.5641025641025641,0.3783783783783784,0.43478260869565216,0.4444444444444444
eucl_params_nodiv,0.01,45.0,0.3037169312169312,0.022105932235717773,0.5422725677490234,0.5643784999847412,0.44,0.2962962962962963,0.25,0.22857142857142856
eucl_raw,0.01,42.0,0.46200456647737254,2.1457672119140625e-06,0.8192789554595947,0.8192811012268066,0.8947368421052632,0.1935483870967742,0.4838709677419355,0.27586206896551724
eucl_raw,0.01,43.0,0.3487529444509251,3.0994415283203125e-06,0.8335607051849365,0.8335638046264648,0.6060606060606061,0.07692307692307693,0.417910447761194,0.29411764705882354
eucl_raw,0.01,44.0,0.39632679572501067,2.384185791015625e-06,0.8060026168823242,0.8060050010681152,0.723404255319149,0.18181818181818182,0.3050847457627119,0.375
eucl_raw,0.01,45.0,0.3311215032018874,2.86102294921875e-06,0.8033545017242432,0.8033573627471924,0.6976744186046512,0.08333333333333333,0.37681159420289856,0.16666666666666666
eucl_raw_nodiv,0.01,42.0,0.46200456647737254,2.6226043701171875e-06,0.5284597873687744,0.5284624099731445,0.8947368421052632,0.1935483870967742,0.4838709677419355,0.27586206896551724
eucl_raw_nodiv,0.01,43.0,0.3487529444509251,2.384185791015625e-06,0.5001091957092285,0.5001115798950195,0.6060606060606061,0.07692307692307693,0.417910447761194,0.29411764705882354
eucl_raw_nodiv,0.01,44.0,0.1,2.384185791015625e-06,0.49314379692077637,0.4931461811065674,0.0,0.4,0.0,0.0
