method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
wasps_nodiv,100.0,42.0,0.39639097155171216,0.07544541358947754,1.2495479583740234,1.324993371963501,0.6444444444444445,0.3,0.0,0.0975609756097561,0.0,0.0,0.6024096385542169
wasps_nodiv,100.0,43.0,0.5253457589777484,0.07958865165710449,1.283118486404419,1.3627071380615234,0.5617977528089888,0.5714285714285714,0.375,0.35294117647058826,0.0,0.6666666666666666,0.68
wasps_nodiv,100.0,44.0,0.48967107804911864,0.0760812759399414,1.2152597904205322,1.2913410663604736,0.5641025641025641,0.25,0.35714285714285715,0.4262295081967213,0.0,0.0,0.6257668711656442
wasps_nodiv,100.0,45.0,0.5190924156027652,0.07535672187805176,1.2332448959350586,1.3086016178131104,0.6,0.5263157894736842,0.08,0.5,0.0,0.0,0.6845637583892618
eucl_params,100.0,42.0,0.3580062176175054,0.07588386535644531,1.4709911346435547,1.546875,0.44155844155844154,0.16216216216216217,0.17142857142857143,0.2028985507246377,0.0,0.0,0.5511811023622047
eucl_params,100.0,43.0,0.4266624996363257,0.07675290107727051,1.5073707103729248,1.5841236114501953,0.46808510638297873,0.18181818181818182,0.25806451612903225,0.3157894736842105,0.0,0.0,0.639344262295082
eucl_params,100.0,44.0,0.38809563418610027,0.07555985450744629,1.4656298160552979,1.5411896705627441,0.3516483516483517,0.23076923076923078,0.3673469387755102,0.26865671641791045,0.0,0.0,0.5892857142857143
eucl_params,100.0,45.0,0.41589881517189164,0.07536458969116211,1.4677412509918213,1.5431058406829834,0.4528301886792453,0.08695652173913043,0.2857142857142857,0.3225806451612903,0.0,0.0,0.6260869565217392
eucl_params_nodiv,100.0,42.0,0.3104124691669381,0.07936930656433105,1.0811710357666016,1.1605403423309326,0.367816091954023,0.09523809523809523,0.08695652173913043,0.17391304347826086,0.0,0.0,0.5325443786982249
eucl_params_nodiv,100.0,43.0,0.33329754757331786,0.0758829116821289,1.071453332901001,1.1473362445831299,0.3157894736842105,0.13333333333333333,0.18604651162790697,0.2608695652173913,0.0,0.0,0.5454545454545454
eucl_params_nodiv,100.0,44.0,0.20541633600997125,0.07575440406799316,1.1052780151367188,1.181032419204712,0.14035087719298245,0.0,0.08333333333333333,0.09302325581395349,0.0,0.0,0.47115384615384615
eucl_params_nodiv,100.0,45.0,0.35705564387917327,0.07544422149658203,1.1217355728149414,1.1971797943115234,0.40540540540540543,0.0,0.0,0.3058823529411765,0.0,0.5,0.6081081081081081
eucl_raw,100.0,42.0,0.7537747168346246,2.384185791015625e-06,1.226836919784546,1.226839303970337,0.7916666666666666,0.7096774193548387,0.7636363636363637,0.676923076923077,0.0,0.6666666666666666,0.8131868131868132
eucl_raw,100.0,43.0,0.7555335110527973,1.9073486328125e-06,1.2126338481903076,1.2126357555389404,0.7450980392156863,0.8235294117647058,0.7659574468085106,0.5714285714285714,0.0,0.6666666666666666,0.9052631578947369
eucl_raw,100.0,44.0,0.7236395841037881,2.1457672119140625e-06,1.2129061222076416,1.2129082679748535,0.6739130434782609,0.6486486486486487,0.8095238095238095,0.6578947368421053,0.0,0.0,0.8571428571428571
eucl_raw,100.0,45.0,0.6885235567414013,1.9073486328125e-06,1.2232675552368164,1.2232694625854492,0.8181818181818182,0.45161290322580644,0.7346938775510204,0.5172413793103449,0.0,0.0,0.7865168539325843
eucl_raw_nodiv,100.0,42.0,0.4209018857301578,2.1457672119140625e-06,0.7048070430755615,0.7048091888427734,0.6666666666666666,0.2127659574468085,0.3225806451612903,0.49230769230769234,0.03773584905660377,0.0,0.2702702702702703
eucl_raw_nodiv,100.0,43.0,0.5330262191670257,5.4836273193359375e-06,0.6745123863220215,0.6745178699493408,0.6942148760330579,0.38461538461538464,0.5142857142857142,0.05263157894736842,0.18181818181818182,0.6666666666666666,0.7777777777777778
